length,diff,gu,size,path
1,0,0,4,helices/len_1/md_0_gu_0_0.csv
2,0,0,36,helices/len_2/md_0_gu_0_0.csv
2,1,0,36,helices/len_2/md_1_gu_0_0.csv
2,2,0,16,helices/len_2/md_2_gu_0_0.csv
3,1,0,216,helices/len_3/md_1_gu_0_0.csv
3,2,0,74,helices/len_3/md_2_gu_0_0.csv
3,3,0,28,helices/len_3/md_3_gu_0_0.csv
4,2,0,409,helices/len_4/md_2_gu_0_0.csv
4,2,1,356,helices/len_4/md_2_gu_1_0.csv
4,3,0,107,helices/len_4/md_3_gu_0_0.csv
4,3,1,95,helices/len_4/md_3_gu_1_0.csv
4,4,0,41,helices/len_4/md_4_gu_0_0.csv
4,4,1,34,helices/len_4/md_4_gu_1_0.csv
4,5,0,16,helices/len_4/md_5_gu_0_0.csv
4,5,1,14,helices/len_4/md_5_gu_1_0.csv
5,3,0,507,helices/len_5/md_3_gu_0_0.csv
5,3,1,453,helices/len_5/md_3_gu_1_0.csv
5,4,0,172,helices/len_5/md_4_gu_0_0.csv
5,4,1,153,helices/len_5/md_4_gu_1_0.csv
5,5,0,55,helices/len_5/md_5_gu_0_0.csv
5,5,1,49,helices/len_5/md_5_gu_1_0.csv
5,6,0,27,helices/len_5/md_6_gu_0_0.csv
5,6,1,20,helices/len_5/md_6_gu_1_0.csv
5,7,0,11,helices/len_5/md_7_gu_0_0.csv
5,7,1,10,helices/len_5/md_7_gu_1_0.csv
6,4,0,651,helices/len_6/md_4_gu_0_0.csv
6,4,1,593,helices/len_6/md_4_gu_1_0.csv
6,4,2,463,helices/len_6/md_4_gu_2_0.csv
6,5,0,210,helices/len_6/md_5_gu_0_0.csv
6,5,1,184,helices/len_6/md_5_gu_1_0.csv
6,5,2,124,helices/len_6/md_5_gu_2_0.csv
6,6,0,77,helices/len_6/md_6_gu_0_0.csv
6,6,1,75,helices/len_6/md_6_gu_1_0.csv
6,6,2,49,helices/len_6/md_6_gu_2_0.csv
6,7,0,33,helices/len_6/md_7_gu_0_0.csv
6,7,1,28,helices/len_6/md_7_gu_1_0.csv
6,7,2,20,helices/len_6/md_7_gu_2_0.csv
6,8,0,16,helices/len_6/md_8_gu_0_0.csv
6,8,1,11,helices/len_6/md_8_gu_1_0.csv
6,8,2,13,helices/len_6/md_8_gu_2_0.csv
7,5,0,735,helices/len_7/md_5_gu_0_0.csv
7,5,1,673,helices/len_7/md_5_gu_1_0.csv
7,5,2,526,helices/len_7/md_5_gu_2_0.csv
7,6,0,255,helices/len_7/md_6_gu_0_0.csv
7,6,1,217,helices/len_7/md_6_gu_1_0.csv
7,6,2,198,helices/len_7/md_6_gu_2_0.csv
7,7,0,89,helices/len_7/md_7_gu_0_0.csv
7,7,1,85,helices/len_7/md_7_gu_1_0.csv
7,7,2,78,helices/len_7/md_7_gu_2_0.csv
7,8,0,39,helices/len_7/md_8_gu_0_0.csv
7,8,1,38,helices/len_7/md_8_gu_1_0.csv
7,8,2,31,helices/len_7/md_8_gu_2_0.csv
7,9,0,21,helices/len_7/md_9_gu_0_0.csv
7,9,1,17,helices/len_7/md_9_gu_1_0.csv
7,9,2,14,helices/len_7/md_9_gu_2_0.csv
7,10,0,11,helices/len_7/md_10_gu_0_0.csv
8,6,0,908,helices/len_8/md_6_gu_0_0.csv
8,6,1,805,helices/len_8/md_6_gu_1_0.csv
8,6,2,690,helices/len_8/md_6_gu_2_0.csv
8,6,3,494,helices/len_8/md_6_gu_3_0.csv
8,7,0,301,helices/len_8/md_7_gu_0_0.csv
8,7,1,303,helices/len_8/md_7_gu_1_0.csv
8,7,2,229,helices/len_8/md_7_gu_2_0.csv
8,7,3,174,helices/len_8/md_7_gu_3_0.csv
8,8,0,128,helices/len_8/md_8_gu_0_0.csv
8,8,1,112,helices/len_8/md_8_gu_1_0.csv
8,8,2,87,helices/len_8/md_8_gu_2_0.csv
8,8,3,71,helices/len_8/md_8_gu_3_0.csv
8,9,0,57,helices/len_8/md_9_gu_0_0.csv
8,9,1,50,helices/len_8/md_9_gu_1_0.csv
8,9,2,48,helices/len_8/md_9_gu_2_0.csv
8,9,3,30,helices/len_8/md_9_gu_3_0.csv
8,10,0,29,helices/len_8/md_10_gu_0_0.csv
8,10,1,25,helices/len_8/md_10_gu_1_0.csv
8,10,2,17,helices/len_8/md_10_gu_2_0.csv
8,10,3,13,helices/len_8/md_10_gu_3_0.csv
8,11,0,15,helices/len_8/md_11_gu_0_0.csv
8,11,1,10,helices/len_8/md_11_gu_1_0.csv
8,11,2,10,helices/len_8/md_11_gu_2_0.csv
8,11,3,10,helices/len_8/md_11_gu_3_0.csv
8,4,1,11027,helices/len_8/md_4_gu_1_0.csv
