length,diff,size,path
5,1,996,sstrand/sstrand_len_5_dist_1.csv
5,2,171,sstrand/sstrand_len_5_dist_2.csv
5,3,32,sstrand/sstrand_len_5_dist_3.csv
5,4,8,sstrand/sstrand_len_5_dist_4.csv
6,2,577,sstrand/sstrand_len_6_dist_2.csv
6,3,88,sstrand/sstrand_len_6_dist_3.csv
6,4,21,sstrand/sstrand_len_6_dist_4.csv
6,5,7,sstrand/sstrand_len_6_dist_5.csv
7,3,256,sstrand/sstrand_len_7_dist_3.csv
7,4,59,sstrand/sstrand_len_7_dist_4.csv
7,5,17,sstrand/sstrand_len_7_dist_5.csv
7,6,6,sstrand/sstrand_len_7_dist_6.csv
8,4,182,sstrand/sstrand_len_8_dist_4.csv
8,5,45,sstrand/sstrand_len_8_dist_5.csv
8,6,15,sstrand/sstrand_len_8_dist_6.csv
8,7,4,sstrand/sstrand_len_8_dist_7.csv
9,5,121,sstrand/sstrand_len_9_dist_5.csv
9,6,31,sstrand/sstrand_len_9_dist_6.csv
9,7,12,sstrand/sstrand_len_9_dist_7.csv
9,8,5,sstrand/sstrand_len_9_dist_8.csv
10,6,81,sstrand/sstrand_len_10_dist_6.csv
10,7,27,sstrand/sstrand_len_10_dist_7.csv
10,8,9,sstrand/sstrand_len_10_dist_8.csv
10,9,5,sstrand/sstrand_len_10_dist_9.csv
11,7,54,sstrand/sstrand_len_11_dist_7.csv
11,8,19,sstrand/sstrand_len_11_dist_8.csv
11,9,8,sstrand/sstrand_len_11_dist_9.csv
11,10,4,sstrand/sstrand_len_11_dist_10.csv
12,8,38,sstrand/sstrand_len_12_dist_8.csv
12,9,16,sstrand/sstrand_len_12_dist_9.csv
12,10,7,sstrand/sstrand_len_12_dist_10.csv
12,11,4,sstrand/sstrand_len_12_dist_11.csv
13,9,29,sstrand/sstrand_len_13_dist_9.csv
13,10,12,sstrand/sstrand_len_13_dist_10.csv
13,11,5,sstrand/sstrand_len_13_dist_11.csv
13,12,4,sstrand/sstrand_len_13_dist_12.csv
14,10,22,sstrand/sstrand_len_14_dist_10.csv
14,11,10,sstrand/sstrand_len_14_dist_11.csv
14,12,5,sstrand/sstrand_len_14_dist_12.csv
14,13,4,sstrand/sstrand_len_14_dist_13.csv
15,11,16,sstrand/sstrand_len_15_dist_11.csv
15,12,8,sstrand/sstrand_len_15_dist_12.csv
15,13,4,sstrand/sstrand_len_15_dist_13.csv
15,14,3,sstrand/sstrand_len_15_dist_14.csv
16,12,12,sstrand/sstrand_len_16_dist_12.csv
16,13,7,sstrand/sstrand_len_16_dist_13.csv
16,14,4,sstrand/sstrand_len_16_dist_14.csv
16,15,4,sstrand/sstrand_len_16_dist_15.csv
17,13,11,sstrand/sstrand_len_17_dist_13.csv
17,14,5,sstrand/sstrand_len_17_dist_14.csv
17,15,4,sstrand/sstrand_len_17_dist_15.csv
17,16,3,sstrand/sstrand_len_17_dist_16.csv
18,14,8,sstrand/sstrand_len_18_dist_14.csv
18,15,5,sstrand/sstrand_len_18_dist_15.csv
18,16,4,sstrand/sstrand_len_18_dist_16.csv
18,17,3,sstrand/sstrand_len_18_dist_17.csv
19,15,7,sstrand/sstrand_len_19_dist_15.csv
19,16,5,sstrand/sstrand_len_19_dist_16.csv
19,17,3,sstrand/sstrand_len_19_dist_17.csv
19,18,2,sstrand/sstrand_len_19_dist_18.csv
